Date,Open,High,Low,Close,Adj Close,Volume
2016-09-08,1180.000000,1180.000000,1142.380005,1161.050049,1091.623169,7021516
2016-09-09,1164.849976,1183.319946,1160.030029,1176.219971,1105.885864,2742438
2016-09-12,1168.500000,1181.969971,1162.000000,1179.530029,1108.998047,2024454
2016-09-14,1181.000000,1188.800049,1155.000000,1164.219971,1094.603516,2069858
2016-09-15,1169.969971,1171.050049,1158.380005,1163.469971,1093.898560,2818964
2016-09-16,1168.349976,1188.000000,1160.000000,1180.849976,1110.239014,4358004
2016-09-19,1182.500000,1213.500000,1175.000000,1205.719971,1133.621948,2802546
2016-09-20,1205.500000,1208.449951,1192.699951,1203.250000,1131.299683,1184552
2016-09-21,1203.849976,1212.000000,1200.349976,1206.699951,1134.543213,1678020
2016-09-22,1212.619995,1214.000000,1185.550049,1189.000000,1117.901733,2857574
2016-09-23,1191.000000,1201.930054,1185.569946,1199.050049,1127.350830,1800726
2016-09-26,1200.550049,1209.550049,1197.500000,1200.550049,1128.761353,1753476
2016-09-27,1200.550049,1224.000000,1200.550049,1218.050049,1145.214844,2038792
2016-09-28,1215.500000,1218.750000,1207.599976,1211.530029,1139.084717,1731328
2016-09-29,1217.500000,1228.250000,1209.800049,1218.900024,1146.013916,3603958
2016-09-30,1218.530029,1224.900024,1211.550049,1215.400024,1142.723267,2175364
2016-10-03,1225.000000,1228.819946,1200.550049,1205.849976,1133.744019,1818880
2016-10-04,1210.000000,1212.530029,1199.000000,1202.569946,1130.660522,1780718
2016-10-05,1204.000000,1207.699951,1188.050049,1193.180054,1121.831909,1176354
2016-10-06,1197.500000,1201.199951,1186.380005,1194.380005,1122.960083,2267572
2016-10-07,1194.000000,1194.000000,1179.099976,1183.900024,1113.106934,1816512
2016-10-10,1184.949951,1193.449951,1177.530029,1190.150024,1118.983032,1202142
2016-10-13,1181.650024,1184.949951,1160.449951,1164.449951,1094.819580,5173334
2016-10-14,1157.500000,1193.500000,1145.500000,1183.099976,1112.354614,7741214
2016-10-17,1184.449951,1187.900024,1172.199951,1181.219971,1110.586914,2728346
2016-10-18,1188.000000,1207.849976,1177.400024,1200.099976,1128.338135,2128632
2016-10-19,1200.500000,1205.000000,1185.150024,1197.550049,1125.940430,1985058
2016-10-20,1198.449951,1204.680054,1193.000000,1200.569946,1128.779785,1265854
2016-10-21,1200.000000,1215.949951,1199.119995,1214.319946,1141.707764,1259660
2016-10-24,1214.099976,1217.449951,1201.280029,1213.849976,1147.407715,1253190
2016-10-25,1202.500000,1207.300049,1190.500000,1199.219971,1133.578369,1772466
2016-10-26,1199.300049,1201.380005,1186.250000,1198.119995,1132.538696,1437130
2016-10-27,1189.849976,1214.750000,1182.750000,1209.050049,1142.870361,2941602
2016-10-28,1205.000000,1207.550049,1194.000000,1199.349976,1133.701172,1752102
2016-11-01,1199.849976,1199.849976,1167.069946,1175.000000,1110.684082,2934776
2016-11-02,1170.500000,1172.000000,1147.500000,1152.030029,1088.971436,2325076
2016-11-03,1147.000000,1167.500000,1142.250000,1159.719971,1096.240601,1463310
2016-11-04,1160.000000,1168.069946,1147.000000,1165.280029,1101.496216,1183752
2016-11-07,1168.949951,1172.449951,1130.030029,1138.530029,1076.210571,2048052
2016-11-08,1140.219971,1153.500000,1130.000000,1141.599976,1079.112183,1933634
2016-11-09,1090.000000,1137.500000,1071.430054,1084.930054,1025.544434,4500226
2016-11-10,1102.400024,1108.750000,1070.400024,1077.719971,1018.728821,2172426
2016-11-11,1073.530029,1073.530029,1043.099976,1050.569946,993.064941,2398424
2016-11-15,1058.449951,1078.780029,1025.949951,1060.650024,1002.593384,6290324
2016-11-16,1072.550049,1104.449951,1069.000000,1094.800049,1034.874146,4019958
2016-11-17,1092.500000,1104.300049,1065.069946,1068.599976,1010.108032,2504688
2016-11-18,1071.000000,1075.000000,1052.099976,1062.550049,1004.389465,2140534
2016-11-21,1063.099976,1070.000000,1052.500000,1066.449951,1008.075867,1793366
2016-11-22,1066.000000,1088.719971,1061.030029,1067.500000,1009.068237,1318860
2016-11-23,1074.500000,1081.469971,1063.599976,1078.180054,1019.163879,1275808
2016-11-24,1077.449951,1103.800049,1068.500000,1094.219971,1034.325806,3026234
2016-11-25,1106.000000,1153.619995,1096.099976,1150.180054,1087.222900,4276148
2016-11-28,1147.000000,1159.719971,1125.949951,1141.300049,1078.828735,1924296
2016-11-29,1137.500000,1146.000000,1126.280029,1129.930054,1068.081299,1442296
2016-11-30,1132.500000,1147.380005,1121.150024,1138.030029,1075.737915,3445832
2016-12-01,1138.500000,1145.000000,1127.030029,1131.719971,1069.773193,1123052
2016-12-02,1129.000000,1135.400024,1102.599976,1110.930054,1050.121460,1998032
2016-12-05,1114.500000,1118.930054,1085.000000,1093.000000,1033.172607,2249526
2016-12-06,1095.000000,1101.969971,1084.949951,1091.180054,1031.452271,1593444
2016-12-07,1091.099976,1092.219971,1072.819946,1077.280029,1018.313110,2065706
2016-12-08,1080.250000,1099.500000,1080.000000,1097.880005,1037.785400,3239546
2016-12-09,1102.500000,1109.949951,1086.650024,1097.619995,1037.539795,1588718
2016-12-12,1097.400024,1108.800049,1081.500000,1104.099976,1043.665161,1311758
2016-12-13,1109.000000,1109.000000,1091.500000,1100.150024,1039.931152,2147534
2016-12-14,1107.000000,1112.349976,1094.500000,1103.800049,1043.381470,1870366
2016-12-15,1101.000000,1136.050049,1101.000000,1129.650024,1067.816528,4295410
2016-12-16,1138.500000,1145.000000,1126.000000,1141.319946,1078.847534,1987230
2016-12-19,1140.000000,1148.849976,1130.650024,1144.449951,1081.806519,1334210
2016-12-20,1146.000000,1172.500000,1143.530029,1169.650024,1105.627197,2922760
2016-12-21,1171.900024,1171.900024,1152.800049,1156.800049,1093.480347,2034902
2016-12-22,1153.000000,1162.500000,1143.099976,1153.849976,1090.692017,1868300
2016-12-23,1150.000000,1158.880005,1139.400024,1144.050049,1081.428223,1118954
2016-12-26,1133.000000,1150.800049,1133.000000,1146.550049,1083.791748,897408
2016-12-27,1140.750000,1165.000000,1140.750000,1161.699951,1098.112183,1294692
2016-12-28,1163.349976,1174.949951,1151.569946,1156.699951,1093.385742,1350418
2016-12-29,1151.500000,1179.949951,1151.500000,1175.849976,1111.487549,1963516
2016-12-30,1177.449951,1189.300049,1172.819946,1182.780029,1118.038208,1405748
2017-01-02,1183.300049,1187.550049,1176.199951,1180.680054,1116.053345,823132
2017-01-03,1180.619995,1185.849976,1171.650024,1184.119995,1119.304932,1475324
2017-01-04,1184.849976,1194.430054,1179.150024,1189.750000,1124.626831,1420066
2017-01-05,1192.000000,1194.969971,1160.199951,1167.199951,1103.311035,2216404
2017-01-06,1160.500000,1164.680054,1128.550049,1140.699951,1078.261475,3009896
2017-01-09,1137.500000,1155.650024,1128.500000,1151.849976,1088.801270,1854578
2017-01-10,1152.000000,1164.900024,1145.750000,1157.680054,1094.312256,1533914
2017-01-11,1157.500000,1164.800049,1140.099976,1162.199951,1098.584839,1931296
2017-01-12,1162.199951,1180.000000,1152.000000,1172.180054,1108.018555,2570374
2017-01-13,1174.000000,1178.969971,1118.930054,1124.650024,1063.090088,10235580
2017-01-16,1125.000000,1136.949951,1114.000000,1129.280029,1067.466675,3364808
2017-01-17,1127.449951,1143.900024,1126.400024,1139.380005,1077.014038,3009956
2017-01-18,1139.000000,1149.000000,1132.719971,1147.550049,1084.736572,3136574
2017-01-19,1147.500000,1147.569946,1141.469971,1145.500000,1082.798828,2251676
2017-01-20,1143.500000,1150.000000,1132.500000,1142.680054,1080.133301,2037246
2017-01-23,1132.500000,1156.750000,1129.900024,1153.349976,1096.456177,2318546
2017-01-24,1152.000000,1161.500000,1145.000000,1159.180054,1101.998779,2282638
2017-01-25,1161.300049,1180.000000,1159.030029,1176.500000,1118.464111,4111648
2017-01-27,1172.530029,1189.380005,1172.530029,1178.900024,1120.746094,2871658
2017-01-30,1170.500000,1175.969971,1159.069946,1166.449951,1108.909790,2577956
2017-01-31,1160.000000,1166.030029,1100.030029,1114.900024,1059.902954,4666804
2017-02-01,1110.000000,1119.969971,1077.780029,1083.949951,1030.479736,4864152
2017-02-02,1085.030029,1109.500000,1076.500000,1103.819946,1049.369507,6009482
2017-02-03,1104.849976,1121.500000,1095.500000,1116.280029,1061.214844,2153372
2017-02-06,1129.000000,1129.250000,1107.469971,1120.380005,1065.112793,2408910
2017-02-07,1122.000000,1126.300049,1113.000000,1122.300049,1066.938110,1814638
2017-02-08,1122.449951,1141.300049,1122.030029,1135.469971,1079.458374,2212584
2017-02-09,1137.500000,1164.000000,1135.099976,1158.650024,1101.494873,4033202
2017-02-10,1155.500000,1212.219971,1155.500000,1198.969971,1139.825928,5782160
2017-02-13,1198.000000,1214.500000,1191.180054,1207.119995,1147.573853,3819812
2017-02-14,1209.819946,1209.819946,1199.000000,1203.119995,1143.771362,2033328
2017-02-15,1198.500000,1214.000000,1187.550049,1206.849976,1147.317139,1924972
2017-02-16,1230.000000,1239.000000,1217.800049,1223.880005,1163.507080,4175680
2017-02-17,1236.000000,1237.800049,1201.000000,1203.949951,1144.560181,2723324
2017-02-20,1212.500000,1277.500000,1204.050049,1251.099976,1189.384399,3973948
2017-02-21,1257.000000,1262.949951,1227.569946,1232.680054,1171.873047,5501112
2017-02-22,1232.949951,1235.000000,1200.069946,1205.750000,1146.271484,4505496
2017-02-23,1207.500000,1246.619995,1207.500000,1240.900024,1179.687500,4853352
2017-02-27,1239.550049,1251.000000,1235.030029,1244.930054,1183.518799,2139892
2017-02-28,1244.750000,1245.000000,1225.000000,1233.119995,1172.291382,2354828
2017-03-01,1239.949951,1250.949951,1235.000000,1239.780029,1178.622681,1130374
2017-03-02,1243.349976,1255.000000,1235.030029,1250.719971,1189.023071,1544942
2017-03-03,1246.000000,1249.849976,1237.699951,1247.030029,1185.515015,1013970
2017-03-06,1240.000000,1242.000000,1227.280029,1236.250000,1175.266846,1400694
2017-03-07,1241.449951,1252.500000,1237.530029,1249.900024,1188.243530,1511672
2017-03-08,1251.000000,1260.000000,1246.099976,1256.099976,1194.137939,1791510
2017-03-09,1257.069946,1262.000000,1252.030029,1259.880005,1197.731323,858468
2017-03-10,1259.800049,1274.780029,1256.969971,1271.119995,1208.416748,1171420
2017-03-14,1278.400024,1293.569946,1275.530029,1283.750000,1220.423828,3402294
2017-03-15,1286.000000,1286.069946,1246.930054,1249.150024,1187.530518,3022496
2017-03-16,1253.000000,1263.500000,1253.000000,1260.449951,1198.273071,1571818
2017-03-17,1273.000000,1273.000000,1254.880005,1262.880005,1200.583130,2593152
2017-03-20,1262.969971,1262.969971,1233.000000,1240.000000,1178.832031,3487540
2017-03-21,1241.000000,1246.000000,1232.500000,1243.349976,1182.016724,3373700
2017-03-22,1240.069946,1248.000000,1234.969971,1239.469971,1178.328003,1888716
2017-03-23,1241.000000,1242.530029,1223.599976,1230.180054,1169.496460,2620638
2017-03-24,1234.900024,1234.900024,1211.650024,1213.599976,1153.734253,5099814
2017-03-27,1213.469971,1220.000000,1203.000000,1206.030029,1146.537720,2181270
2017-03-28,1205.000000,1221.699951,1205.000000,1214.969971,1155.036499,1153158
2017-03-29,1218.000000,1225.400024,1212.800049,1222.300049,1162.005005,1717764
2017-03-30,1222.449951,1232.500000,1217.500000,1220.500000,1160.293701,2986086
2017-03-31,1219.199951,1220.430054,1207.500000,1215.900024,1155.920776,1867044
2017-04-03,1217.500000,1217.500000,1204.099976,1205.849976,1146.366577,1196888
2017-04-05,1209.949951,1209.949951,1197.500000,1200.619995,1141.394531,2905568
2017-04-06,1200.000000,1205.000000,1196.280029,1200.030029,1140.833496,1720704
2017-04-07,1197.449951,1216.619995,1196.069946,1214.530029,1154.618286,2277012
2017-04-10,1216.000000,1224.500000,1202.500000,1211.119995,1151.376465,2543264
2017-04-11,1208.650024,1221.550049,1203.000000,1209.650024,1149.979126,1557784
2017-04-12,1211.250000,1214.000000,1191.500000,1196.619995,1137.591919,1050538
2017-04-13,1200.000000,1204.500000,1160.530029,1164.319946,1106.885010,2500472
2017-04-17,1165.199951,1166.449951,1147.569946,1157.430054,1100.334961,2270882
2017-04-18,1165.000000,1167.099976,1151.030029,1154.400024,1097.454468,1730620
2017-04-19,1131.750000,1174.349976,1126.400024,1149.569946,1092.862671,5626812
2017-04-20,1152.650024,1166.000000,1145.469971,1162.750000,1105.392578,1268842
2017-04-21,1164.550049,1167.819946,1150.500000,1155.400024,1098.405029,1161154
2017-04-24,1150.000000,1169.819946,1141.250000,1164.050049,1106.628662,2000020
2017-04-25,1164.000000,1172.219971,1151.349976,1155.750000,1098.738037,3148710
2017-04-26,1170.000000,1171.969971,1151.530029,1155.180054,1098.196045,2187438
2017-04-27,1153.030029,1163.900024,1138.819946,1151.319946,1094.526367,5773186
2017-04-28,1147.000000,1149.380005,1134.000000,1136.569946,1080.503784,2540510
2017-05-02,1147.000000,1151.000000,1140.000000,1144.949951,1088.470581,2382696
2017-05-03,1147.500000,1172.500000,1134.250000,1168.650024,1111.001709,3514406
2017-05-04,1174.969971,1175.000000,1154.400024,1165.050049,1107.579224,2708208
2017-05-05,1154.000000,1166.250000,1151.250000,1160.250000,1103.015869,1682474
2017-05-08,1160.500000,1173.699951,1158.849976,1171.219971,1113.444702,1071782
2017-05-09,1171.969971,1180.500000,1166.280029,1176.280029,1118.255249,1790270
2017-05-10,1177.500000,1178.069946,1158.000000,1166.219971,1108.691406,1206388
2017-05-11,1173.650024,1180.000000,1161.380005,1174.719971,1116.772095,2071302
2017-05-12,1171.650024,1184.949951,1160.030029,1180.319946,1122.095947,2314446
2017-05-15,1187.550049,1188.969971,1170.800049,1182.550049,1124.215820,1817604
2017-05-16,1190.000000,1217.500000,1186.719971,1214.569946,1154.656250,3601026
2017-05-17,1216.750000,1230.380005,1211.500000,1227.680054,1167.119873,2876198
2017-05-18,1225.000000,1286.000000,1221.119995,1268.099976,1205.545776,5138594
2017-05-19,1268.099976,1270.280029,1243.000000,1253.569946,1191.732544,1786044
2017-05-22,1255.000000,1276.880005,1255.000000,1265.680054,1203.245239,1663940
2017-05-23,1266.599976,1282.069946,1257.000000,1260.849976,1198.653320,2748596
2017-05-24,1267.400024,1285.000000,1264.819946,1279.569946,1216.450073,2534548
2017-05-25,1288.500000,1318.780029,1284.000000,1312.300049,1247.565430,4094094
2017-05-26,1312.500000,1313.430054,1282.319946,1289.119995,1225.528809,1362550
2017-05-29,1289.500000,1298.250000,1282.000000,1286.430054,1222.971680,1749290
2017-05-30,1280.000000,1287.969971,1262.500000,1275.550049,1212.628296,927634
2017-05-31,1266.500000,1286.250000,1264.000000,1273.300049,1210.489258,2502730
2017-06-01,1265.000000,1282.000000,1265.000000,1276.800049,1213.816650,1080064
2017-06-02,1278.119995,1295.930054,1276.250000,1282.449951,1219.187744,1355648
2017-06-05,1282.500000,1309.949951,1280.069946,1301.969971,1237.744995,1500188
2017-06-06,1315.500000,1354.469971,1315.000000,1348.000000,1281.504395,5946720
2017-06-07,1348.500000,1350.000000,1288.280029,1307.619995,1243.116211,4927776
2017-06-08,1299.000000,1302.469971,1257.750000,1260.800049,1198.605835,3330714
2017-06-09,1260.000000,1273.699951,1243.000000,1253.500000,1191.666138,3148034
2017-06-12,1248.500000,1256.449951,1235.199951,1243.599976,1182.254395,1626506
2017-06-13,1232.500000,1240.550049,1223.500000,1225.780029,1191.664917,1175414
2017-06-14,1227.500000,1238.000000,1227.500000,1235.099976,1200.725586,1489142
2017-06-15,1234.500000,1234.849976,1202.500000,1205.599976,1172.046631,2997198
2017-06-16,1207.469971,1217.500000,1193.250000,1199.849976,1166.456543,2450426
2017-06-19,1208.449951,1223.180054,1202.569946,1215.849976,1182.011353,1644742
2017-06-20,1215.500000,1224.500000,1190.150024,1222.500000,1188.476074,1670958
2017-06-21,1220.000000,1221.069946,1198.599976,1203.150024,1169.664673,1657818
2017-06-22,1204.500000,1215.500000,1192.500000,1197.430054,1164.104004,5775882
2017-06-23,1199.699951,1206.969971,1177.000000,1180.849976,1147.985352,1424756
2017-06-27,1175.300049,1192.349976,1165.800049,1171.430054,1138.827759,1974330
2017-06-28,1174.949951,1179.000000,1167.500000,1175.030029,1142.327393,1789726
2017-06-29,1179.500000,1186.030029,1161.550049,1166.619995,1134.151489,2471826
2017-06-30,1162.199951,1188.500000,1161.550049,1181.180054,1148.306274,1753848
2017-07-03,1178.699951,1191.530029,1171.550049,1186.800049,1153.769775,1475956
2017-07-04,1186.650024,1190.219971,1175.030029,1183.430054,1150.493652,1215134
2017-07-05,1180.400024,1182.500000,1172.500000,1178.000000,1145.214600,815856
2017-07-06,1179.500000,1180.949951,1170.050049,1173.780029,1141.112305,1026788
2017-07-07,1175.000000,1178.219971,1162.750000,1165.969971,1133.519531,1232090
2017-07-10,1203.000000,1222.449951,1189.469971,1217.469971,1183.586182,783608
2017-07-11,1213.000000,1257.400024,1213.000000,1237.900024,1203.447754,3537504
2017-07-12,1241.250000,1241.650024,1215.050049,1219.719971,1185.773560,2646450
2017-07-13,1222.500000,1236.000000,1213.300049,1223.199951,1189.156616,3131960
2017-07-14,1191.500000,1212.500000,1187.500000,1198.719971,1165.358154,4508432
2017-07-17,1198.849976,1211.050049,1191.099976,1197.719971,1164.385742,2211822
2017-07-18,1198.069946,1221.500000,1198.069946,1204.180054,1170.666260,1908002
2017-07-19,1207.750000,1230.000000,1207.550049,1224.800049,1190.712280,3915576
2017-07-20,1224.619995,1228.449951,1215.250000,1222.349976,1188.330444,1182504
2017-07-21,1217.449951,1250.000000,1217.280029,1245.599976,1210.933228,2148416
2017-07-24,1241.000000,1270.000000,1241.000000,1265.349976,1237.085571,2271402
2017-07-25,1262.880005,1290.000000,1259.199951,1285.750000,1257.029907,2678832
2017-07-26,1280.000000,1287.500000,1273.500000,1278.000000,1249.453247,1459826
2017-07-27,1271.099976,1292.400024,1233.250000,1240.849976,1213.133057,4255304
2017-07-28,1240.500000,1246.530029,1221.000000,1242.150024,1214.404053,1382752
2017-07-31,1235.500000,1259.500000,1231.500000,1245.900024,1218.070313,2019662
2017-08-01,1250.000000,1260.380005,1245.500000,1250.819946,1222.880371,1747460
2017-08-02,1250.000000,1254.000000,1231.000000,1236.900024,1209.271240,1251024
2017-08-03,1240.000000,1251.000000,1233.219971,1244.719971,1216.916504,1882548
2017-08-04,1245.400024,1264.150024,1244.000000,1261.400024,1233.223877,1387890
2017-08-07,1258.250000,1260.000000,1240.599976,1251.719971,1223.760132,1885520
2017-08-08,1256.000000,1264.300049,1248.150024,1251.530029,1223.574707,1073958
2017-08-09,1250.000000,1261.430054,1246.650024,1256.000000,1227.944580,992946
2017-08-10,1254.500000,1260.300049,1243.180054,1255.719971,1227.670776,1526172
2017-08-11,1249.949951,1267.500000,1241.500000,1248.030029,1220.152588,1394736
2017-08-14,1251.500000,1254.949951,1231.500000,1234.699951,1207.120361,786504
2017-08-16,1242.000000,1271.900024,1232.599976,1246.180054,1218.343994,1373340
2017-08-17,1250.349976,1252.500000,1231.050049,1242.819946,1215.059082,1752374
2017-08-18,1237.000000,1274.949951,1235.699951,1256.900024,1228.824585,2837356
2017-08-21,1252.750000,1274.500000,1247.150024,1264.400024,1236.156982,2304834
2017-08-22,1261.500000,1269.750000,1246.000000,1248.780029,1220.885864,1131326
2017-08-23,1252.500000,1258.400024,1236.569946,1244.719971,1216.916504,1562272
2017-08-24,1248.849976,1258.969971,1243.069946,1248.300049,1220.416626,1623908
2017-08-28,1252.300049,1252.699951,1230.500000,1243.650024,1215.870483,2036796
2017-08-29,1241.000000,1248.000000,1231.969971,1235.430054,1207.834106,1312602
2017-08-30,1240.500000,1245.000000,1230.050049,1242.280029,1214.531128,970782
2017-08-31,1242.500000,1252.199951,1233.319946,1248.180054,1220.299438,1784664
2017-09-01,1240.000000,1249.030029,1218.280029,1228.219971,1200.785156,1702330
2017-09-04,1226.550049,1230.500000,1219.000000,1228.099976,1200.667847,1062544
2017-09-05,1230.000000,1245.000000,1218.530029,1242.180054,1214.433350,1165994
2017-09-06,1234.069946,1237.430054,1225.000000,1226.599976,1199.201416,1228764
2017-09-07,1229.000000,1234.199951,1225.530029,1230.050049,1202.574341,870636
2017-09-08,1226.880005,1237.000000,1226.280029,1235.300049,1207.707031,1021134
2017-09-11,1235.599976,1241.469971,1225.000000,1227.219971,1199.807495,732764
2017-09-12,1236.949951,1248.500000,1228.500000,1244.219971,1216.427734,1396460
2017-09-13,1250.000000,1265.819946,1237.599976,1244.599976,1216.799194,1278980
2017-09-14,1241.000000,1248.800049,1235.949951,1243.469971,1215.694458,1081510
2017-09-15,1249.500000,1258.500000,1242.500000,1253.030029,1225.040894,2944072
2017-09-18,1252.469971,1259.469971,1244.619995,1249.530029,1221.619141,726600
2017-09-19,1252.500000,1252.500000,1245.750000,1249.119995,1221.218262,782754
2017-09-20,1257.000000,1257.000000,1237.150024,1246.780029,1218.930664,1334642
2017-09-21,1245.530029,1270.500000,1240.000000,1262.449951,1234.250366,2438740
2017-09-22,1259.949951,1263.449951,1246.000000,1251.800049,1223.838379,2435396
2017-09-25,1248.280029,1267.000000,1246.380005,1255.380005,1227.338379,1599558
2017-09-26,1255.000000,1263.199951,1233.000000,1237.319946,1209.681885,1449230
2017-09-27,1245.000000,1256.099976,1236.880005,1247.500000,1219.634644,2010356
2017-09-28,1247.349976,1257.000000,1226.000000,1238.219971,1210.561646,4332866
2017-09-29,1239.500000,1242.000000,1210.750000,1217.969971,1190.763916,1985014
2017-10-03,1220.000000,1227.150024,1213.530029,1224.219971,1196.874390,1923006
2017-10-04,1224.800049,1227.000000,1212.500000,1221.150024,1193.873047,1300778
2017-10-05,1220.500000,1221.719971,1212.199951,1214.800049,1187.665039,1684686
2017-10-06,1215.000000,1227.500000,1214.030029,1223.319946,1195.994629,1389188
2017-10-09,1220.530029,1233.969971,1220.530029,1227.050049,1199.641479,1773616
2017-10-10,1227.500000,1234.969971,1225.619995,1229.619995,1202.153809,1222010
2017-10-11,1230.000000,1257.219971,1228.380005,1250.180054,1222.254639,1527746
2017-10-12,1256.500000,1277.500000,1253.500000,1274.099976,1245.640381,5006356
2017-10-13,1274.099976,1304.469971,1261.500000,1279.300049,1250.724243,4066320
2017-10-16,1277.530029,1295.000000,1277.530029,1292.199951,1263.335938,1218590
2017-10-17,1292.500000,1307.469971,1288.780029,1297.280029,1268.302734,1443016
2017-10-18,1297.500000,1306.819946,1290.000000,1293.300049,1264.411499,1514144
2017-10-19,1296.000000,1297.900024,1285.500000,1291.949951,1263.091553,86822
2017-10-23,1292.000000,1314.500000,1273.719971,1293.949951,1265.046875,1886088
2017-10-24,1310.000000,1310.449951,1284.530029,1289.199951,1260.403076,1339020
2017-10-25,1289.250000,1307.000000,1277.500000,1279.949951,1258.191162,1105106
2017-10-26,1267.550049,1284.569946,1258.949951,1269.430054,1247.850098,3007552
2017-10-27,1269.000000,1296.569946,1265.150024,1292.150024,1270.183838,1409270
2017-10-30,1293.000000,1310.000000,1290.849976,1308.099976,1285.862671,1137252
2017-10-31,1300.650024,1320.000000,1300.650024,1312.000000,1289.696533,1592634
2017-11-01,1312.000000,1313.430054,1289.430054,1301.430054,1279.306152,741882
2017-11-02,1304.250000,1337.000000,1303.380005,1313.069946,1290.748169,1468422
2017-11-03,1316.199951,1318.349976,1301.400024,1310.050049,1287.779663,666886
2017-11-06,1310.000000,1335.900024,1305.880005,1332.780029,1310.123291,1377000
2017-11-07,1335.000000,1384.000000,1333.030029,1355.030029,1331.994995,2696892
2017-11-08,1361.500000,1379.500000,1359.119995,1367.500000,1344.253052,1402252
2017-11-09,1375.000000,1375.000000,1359.650024,1368.199951,1344.940918,1152432
2017-11-10,1361.099976,1363.000000,1346.680054,1354.380005,1331.355957,1356566
2017-11-13,1351.030029,1388.699951,1351.030029,1379.469971,1356.019409,1496996
2017-11-14,1378.280029,1378.280029,1353.750000,1357.300049,1334.226318,1657252
2017-11-15,1353.000000,1377.500000,1350.680054,1352.650024,1329.655396,6670834
2017-11-16,1355.000000,1381.500000,1343.469971,1373.319946,1349.973999,1653482
2017-11-17,1374.050049,1374.050049,1351.800049,1353.650024,1330.638428,1325464
2017-11-20,1357.500000,1363.449951,1347.650024,1351.719971,1328.741211,1014498
2017-11-21,1350.500000,1350.500000,1333.000000,1336.469971,1313.750488,1527740
2017-11-22,1336.500000,1354.849976,1336.199951,1340.319946,1317.535034,1822624
2017-11-23,1340.500000,1346.500000,1334.500000,1340.619995,1317.829956,793470
2017-11-24,1341.000000,1351.449951,1336.550049,1344.030029,1321.181885,2287512
2017-11-27,1344.000000,1347.949951,1331.099976,1342.930054,1320.100708,1856786
2017-11-28,1343.000000,1351.199951,1335.000000,1342.650024,1319.825439,911716
2017-11-29,1338.750000,1346.500000,1325.000000,1329.069946,1306.476196,1447532
2017-11-30,1326.819946,1333.469971,1311.500000,1318.500000,1296.085815,4299962
2017-12-01,1317.500000,1334.000000,1310.750000,1314.969971,1292.615967,1031144
2017-12-04,1311.000000,1329.250000,1301.469971,1316.180054,1293.805542,1259104
2017-12-05,1315.500000,1325.849976,1314.069946,1317.780029,1295.378296,1167914
2017-12-06,1318.000000,1322.500000,1306.430054,1316.650024,1294.267334,1407518
2017-12-07,1316.150024,1322.969971,1307.500000,1308.619995,1286.373901,1326300
2017-12-08,1309.000000,1322.500000,1298.500000,1300.750000,1278.637695,1385548
2017-12-11,1304.180054,1336.319946,1304.180054,1330.550049,1307.931030,1008002
2017-12-12,1330.500000,1331.000000,1303.699951,1306.069946,1283.867065,1882246
2017-12-13,1305.699951,1325.719971,1300.500000,1314.199951,1291.859009,2961458
2017-12-14,1316.000000,1316.000000,1265.550049,1278.900024,1257.159058,5504150
2017-12-15,1281.880005,1292.219971,1268.430054,1272.800049,1251.162964,2718138
2017-12-18,1268.500000,1294.469971,1247.180054,1290.250000,1268.316284,2180664
2017-12-19,1288.000000,1298.900024,1282.349976,1287.650024,1265.760498,1801952
2017-12-20,1291.000000,1296.380005,1275.319946,1294.469971,1272.464478,1577570
2017-12-21,1293.500000,1304.000000,1290.030029,1297.849976,1275.786987,1293648
2017-12-22,1302.000000,1331.949951,1295.099976,1323.380005,1300.883057,3665664
2017-12-26,1343.000000,1344.880005,1315.800049,1324.719971,1302.200195,2175786
2017-12-27,1324.719971,1329.250000,1305.250000,1309.949951,1287.681152,739284
2017-12-28,1304.400024,1326.750000,1302.819946,1313.469971,1291.141479,2605088
2017-12-29,1311.550049,1354.449951,1309.280029,1350.599976,1327.640259,2609542
2018-01-01,1341.150024,1347.400024,1317.500000,1322.800049,1300.312744,1351760
2018-01-02,1330.000000,1334.800049,1310.099976,1315.599976,1293.235229,1920290
2018-01-03,1316.000000,1334.500000,1315.599976,1319.319946,1296.891968,1257120
2018-01-04,1325.000000,1331.000000,1320.000000,1328.550049,1305.965210,913082
2018-01-05,1325.000000,1349.750000,1325.000000,1344.599976,1321.742310,1153706
2018-01-08,1350.000000,1363.430054,1340.930054,1357.199951,1334.128052,1242220
2018-01-09,1357.500000,1360.500000,1338.280029,1354.500000,1331.473999,2149396
2018-01-10,1355.500000,1408.000000,1347.319946,1403.300049,1379.444336,3365850
2018-01-11,1405.000000,1410.949951,1391.099976,1395.250000,1371.531250,2520744
2018-01-12,1402.500000,1402.500000,1370.280029,1388.180054,1364.581299,3360314
2018-01-15,1388.569946,1404.000000,1367.530029,1373.050049,1349.708618,1457214
2018-01-16,1378.000000,1430.819946,1375.280029,1425.430054,1401.198364,4267752
2018-01-17,1435.000000,1462.500000,1431.069946,1444.469971,1419.914551,4280806
2018-01-18,1448.500000,1466.500000,1434.030029,1459.099976,1434.295654,2209478
2018-01-19,1465.280029,1491.000000,1451.819946,1479.650024,1454.496582,1820000
2018-01-22,1480.500000,1567.349976,1461.000000,1558.199951,1538.991699,4367110
